"","Category","NESP","PLACEBO","LRT_p","ChiSq_p","logit_unadj_stack_trt","logit_unadj_pBMA_trt","logit_unadj_BMA_trt","surv_unadj_trt_weight_stack","surv_unadj_trt_weight_pBMA","surv_unadj_trt_weight_BMA"
"1","All adverse events","232 (96%)","232 (97%)",0.444251641961302,0.617045151277997,1.373519772363e-07,0.286398417103901,0.652456010816355,8.16270391598385e-05,0.265593279304318,0.267855740445415
"2","Arrhythmia","1 (0%)",NA,0.240805336598917,1,0.999999485072994,0.673070867119503,0.946613847261936,0.115268659079974,0.526756452089311,0.956110584658782
"3","CV","82 (34%)","57 (24%)",0.0149131518273705,0.0198803878047398,0.833321631687044,0.740335646911242,0.89635453632212,0.714731086076276,0.623343359614743,0.803834005846959
"4","CVA","5 (2%)","2 (1%)",0.252485742674995,0.449736327267928,0.283851785754915,0.403682547961508,0.791162873372182,0.455881491836166,0.399930923771809,0.795229815162125
"5","Embolism","62 (26%)","43 (18%)",0.0423035036371633,0.0554442999746415,0.812189426967273,0.716222336662179,0.81662272456689,0.77351338804321,0.643054731696158,0.753142730790003
"6","Hypertension","15 (6%)","13 (5%)",0.722186972922258,0.87240116432794,2.00499870151027e-07,0.396416083161602,0.471634088257258,0.00012057775791302,0.291727032126893,0.478257561569931
"7","MI","6 (2%)","1 (0%)",0.0468124297057586,0.122305833062339,0.747716848700835,0.664257025553843,0.945978172689218,0.711517962164038,0.620254239139213,0.934723347024869
"8","Serious","110 (46%)","96 (40%)",0.240656495800365,0.279823811001793,0.604125281451915,0.543977403074462,0.476348022664581,0.109224980372808,0.382818879404313,0.627368268334561
"9","Severe, life-threatening, or fatal","144 (60%)","133 (56%)",0.391246889693686,0.444429647055922,0.00472061730453999,0.417358108798935,0.39924586516462,0.216654296675743,0.466252833170091,0.476243532416074
"10","Treatment related","13 (5%)","14 (6%)",0.816821250288475,0.973274028198747,9.74293657307612e-07,0.321432544721998,0.496376718911354,1.1462922205498e-05,0.228073920244445,0.737845578238373
